Daytime/evening attendance	,Previous qualification (grade),Admission grade,Displaced,Debtor,Tuition fees up to date,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Gender_1,Application mode_2,Application mode_5,Application mode_7,Application mode_10,Application mode_15,Application mode_16,Application mode_17,Application mode_18,Application mode_26,Application mode_27,Application mode_39,Application mode_42,Application mode_43,Application mode_44,Application mode_51,Application mode_53,Application mode_57,Marital status_2,Marital status_3,Marital status_4,Marital status_5,Marital status_6,Target
1,-0.8048412577874374,0.022228767979372222,1,0,1,0,-0.4303628237699172,-2.5285596421889753,-1.9860682178113243,-1.5212573894487618,-2.1971023927998017,-2.8383365740470685,-2.0426298922341317,-1.471526880526303,-1.963488622985818,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.0768193183416446,1.0719261394817379,1,0,0,0,-0.562167955812708,-0.109105147316254,-0.5501920153441094,0.4180498886958897,0.6935986007230148,-0.10572600419086485,-0.522682374307949,0.518903690034754,0.6595617086953638,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,-0.8048412577874374,-0.15041882601772735,1,0,0,0,-0.562167955812708,-0.109105147316254,-1.9860682178113243,-1.5212573894487618,-2.1971023927998017,-0.10572600419086485,-2.0426298922341317,-1.471526880526303,-1.963488622985818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.8048412577874374,-0.5095258215316947,1,0,1,0,-0.4303628237699172,-0.109105147316254,-0.07156661452170444,0.4180498886958897,0.5756108050690224,-0.10572600419086485,0.4906159709761728,0.1871652616079112,0.4164497267346691,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,-2.473171065020064,1.002867101882898,0,0,1,0,2.8647654772998528,-0.109105147316254,0.16774608588949805,0.09483200900511447,0.3494675300655368,-0.10572600419086485,-0.522682374307949,0.518903690034754,0.5316080339792087,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
0,0.03690696313447821,-0.8410092020061256,0,1,1,0,3.5237911375138067,-0.5123475631283743,0.4070587863007005,0.09483200900511447,0.25114436702054305,-0.5611610991668988,2.263888075223386,0.1871652616079112,0.2437122658678595,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
1,0.7118222033331321,0.09819370933809662,1,0,1,1,-0.6939730878554988,0.2941372684958662,0.16774608588949805,0.741267768386665,0.5490635510468742,0.8051441857612031,-0.016033201665888088,1.1823805468884399,0.789754572719052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,-1.0323407769555228,-0.9584095659241536,1,0,0,0,-0.16675255968433558,-0.5123475631283743,-0.7895047157553119,-1.5212573894487618,-2.1971023927998017,-0.5611610991668988,-0.7760069606289794,-1.471526880526303,-1.963488622985818,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.33265633805298966,0.16034684317705286,0,0,1,1,-0.2985576917271264,-0.109105147316254,-0.07156661452170444,0.4180498886958897,0.667788770423704,-0.10572600419086485,-0.2693577879869185,0.518903690034754,0.7509571906354747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.40848951110901816,-0.27472509369563886,1,1,0,0,-0.6939730878554988,-0.109105147316254,0.16774608588949805,0.09483200900511447,0.15675413049734901,-0.10572600419086485,1.5039143162602946,-0.8080500236726174,0.6275732900163251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
